RNO.PA	TSLA
14.740885	NA
14.264421	NA
14.844307	NA
15.254289	NA
15.028984	NA
15.335546	NA
15.102853	NA
14.301357	NA
13.252394	NA
12.772236	NA
12.269916	NA
12.122172	NA
11.058435	NA
11.353918	NA
10.522873	NA
10.415761	NA
10.692777	NA
10.659535	NA
11.996593	NA
10.966097	NA
11.198791	NA
10.740792	NA
10.977178	NA
11.582918	NA
11.361306	NA
12.284689	NA
13.163748	NA
12.292075	NA
11.996593	NA
11.926416	NA
12.063076	NA
11.597692	NA
10.751873	NA
10.197843	NA
9.972537	NA
9.400041	NA
8.384318	NA
8.461882	NA
8.339995	NA
8.694576	NA
8.513592	NA
7.933708	NA
7.804433	NA
8.362156	NA
7.822901	NA
8.000191	NA
7.841369	NA
8.953121	NA
9.710298	NA
9.78786	NA
9.66228	NA
10.039021	NA
10.452696	NA
10.364051	NA
10.674308	NA
11.087983	NA
11.494272	NA
11.117534	NA
11.564449	NA
12.007672	NA
12.498912	NA
11.176629	NA
11.438869	NA
12.402882	NA
14.131455	NA
15.760303	NA
15.911739	NA
15.291224	NA
16.148125	NA
16.739088	NA
16.473152	NA
15.963449	NA
16.162895	NA
17.802826	NA
15.963449	NA
16.055786	NA
16.414057	NA
16.657829	NA
17.215553	NA
16.94223	NA
16.059479	NA
16.55072	NA
18.150017	NA
19.391045	NA
19.97093	NA
19.620045	NA
19.738237	NA
19.232224	NA
18.38271	NA
18.172178	NA
16.801878	NA
17.437168	NA
17.714182	NA
17.913631	NA
18.700357	NA
19.088175	NA
18.733597	NA
19.402124	NA
19.243303	NA
19.413206	NA
19.723461	NA
19.56464	NA
19.989395	NA
21.810307	NA
22.368032	NA
21.869404	NA
21.769678	NA
22.722612	NA
21.850937	NA
21.385553	NA
21.876793	NA
22.689367	NA
22.493612	NA
21.27844	NA
20.717022	NA
20.214703	NA
19.874899	NA
19.963543	NA
18.393791	NA
18.31992	NA
19.00692	NA
19.221142	NA
19.047544	NA
19.309788	NA
19.331949	NA
19.830576	NA
18.877644	NA
18.548918	NA
18.209114	NA
18.234968	NA
16.872055	NA
16.798183	NA
16.543331	NA
16.87575	NA
17.5886	NA
18.489822	NA
18.89242	NA
19.19898	NA
19.173126	NA
20.218397	NA
20.118671	NA
20.665314	NA
20.720715	NA
20.325508	NA
19.937687	NA
21.067909	NA
21.378164	NA
22.1021	NA
25.193583	NA
24.920263	NA
24.34038	NA
24.717119	NA
24.229572	NA
24.259121	NA
23.250786	NA
23.634916	NA
24.809456	NA
23.527802	NA
22.899902	NA
23.524109	NA
23.247091	NA
24.458572	NA
25.10494	NA
25.090166	NA
24.957197	NA
24.248041	NA
23.487173	NA
24.067057	NA
23.195383	NA
22.175966	NA
21.858322	NA
21.274748	NA
22.360643	NA
23.258171	NA
23.084576	NA
24.683878	NA
24.499201	NA
24.602619	NA
23.926704	NA
24.037506	NA
25.348713	NA
24.887018	NA
24.007959	NA
23.601673	NA
23.874992	NA
23.472397	NA
23.453931999999998	NA
22.995932	NA
23.513025	NA
23.697704	NA
23.538881	NA
23.387447	NA
22.718918	NA
22.6709	NA
23.501947	NA
23.889767	NA
24.839003	NA
24.986746	NA
26.039404	NA
26.017246	NA
26.803961	NA
26.659918	NA
26.368126	NA
27.140078	NA
27.165932	NA
26.164984	NA
25.466906	NA
25.887966	NA
25.16773	NA
23.900846	NA
22.212904	NA
22.988544	NA
22.60442	NA
22.589643	NA
22.257223	NA
23.176918	NA
23.638607	NA
23.368979	NA
23.952555	NA
23.243401	NA
23.055029	NA
23.612755	NA
24.092913	NA
24.853783	NA
24.303444	NA
24.598927	NA
23.93409	NA
23.631222	NA
24.53244	NA
24.576767	NA
24.513973	NA
23.313576	NA
23.760492	NA
23.786348	NA
24.739281	NA
25.208359	NA
25.596178	NA
26.286869	NA
26.116966	NA
25.814096	NA
25.337635	NA
25.854725	NA
25.995079	NA
26.227774	NA
26.412449	NA
26.552803	NA
26.224083	NA
25.574017	NA
25.633114	NA
26.357044	NA
26.323801	NA
26.556498	NA
26.549107	NA
26.567581	NA
26.464159	NA
26.741175	NA
28.218588	NA
28.299845	NA
28.994232	NA
29.322954	NA
29.093954	NA
28.964684	NA
28.336781	NA
29.17152	NA
29.226923	NA
28.517761	NA
29.01639	NA
28.366331	NA
27.273043	NA
26.667301	NA
26.371822	NA
25.90274	NA
25.832565	NA
25.008909	NA
25.071697	NA
25.308083	NA
26.08742	NA
26.072643	NA
26.09111	NA
24.912876	NA
23.745722	NA
24.107681	NA
24.602619	NA
24.211105	NA
22.899902	NA
21.83247	NA
22.345869	NA
22.958996	NA
23.413303	NA
23.834366	NA
23.852833	NA
23.55735	NA
22.560097	NA
22.826029	NA
21.732744	NA
22.308939	NA
22.356951	NA
22.936834	NA
23.376366	NA
23.368979	NA
24.296057	NA
24.366234	NA
24.144623	NA
24.465956	NA
24.576767	NA
25.04215	NA
24.798376	NA
25.359793	NA
25.618338	NA
25.441048	NA
25.208359	NA
24.916569	NA
25.193583	NA
24.968279	NA
26.246239	NA
26.257318	NA
26.371822	NA
25.706984	NA
25.633114	NA
26.224083	NA
27.236105	NA
26.962786	NA
26.353354	NA
26.419834	NA
25.976612	NA
26.065258	NA
25.928595	NA
25.972919	NA
25.455826	NA
25.175119	NA
26.316418	NA
25.858419	NA
25.381954	NA
27.121605	NA
27.812298	NA
26.741175	NA
25.670052	NA
26.24255	NA
26.157595	NA
26.286869	NA
24.598927	NA
24.34038	NA
23.93409	NA
23.649687	NA
24.580458	NA
24.658022	NA
24.842701	NA
24.857471	NA
23.16214	NA
22.837112	NA
22.866659	NA
21.780758	NA
21.078985	NA
21.263666	NA
21.241503	NA
19.771481	NA
20.310736	NA
21.555456	NA
21.536985	NA
21.70689	NA
21.326456	NA
21.666262	NA
22.423433	NA
21.566534	NA
21.363396	NA
21.038361	NA
21.625631	NA
22.467758	NA
22.619192	NA
23.232319	NA
23.657076	NA
23.542578	NA
23.701399	NA
24.296057	NA
25.160345	NA
24.997824	NA
24.802071	NA
23.852833	NA
23.16214	NA
23.889767	NA
22.563787	23.889999
22.741079	23.83
21.836161	21.959999
22.286772	19.200001
22.179663	NA
22.992239	16.110001
23.745722	15.8
24.436409	17.459999
24.713427	17.4
24.997824	17.049999
26.057873	18.139999
25.910128	19.84
25.444744	19.889999
